Place,Location,Type,Budget,Season,Interest,Rating,Approx_Cost,Image_URL
Goa,Goa,Beach,High,Winter,Relaxation,4.6,15000,https://images.unsplash.com/photo-1507525428034-b723cf961d3e
Manali,Himachal Pradesh,Hill,Medium,Summer,Adventure,4.5,12000,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Shimla,Himachal Pradesh,Hill,Medium,Winter,Relaxation,4.3,10000,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429
Varanasi,Uttar Pradesh,Historical,Low,Winter,Spiritual,4.4,7000,https://images.unsplash.com/photo-1571701103700-9b1c1d8aabcb
Jaipur,Rajasthan,Historical,Medium,Winter,Cultural,4.5,9000,https://images.unsplash.com/photo-1599661046289-e31897846e41
Udaipur,Rajasthan,Historical,High,Winter,Relaxation,4.6,14000,https://images.unsplash.com/photo-1573843981267-be1999ff37cd
Rishikesh,Uttarakhand,Hill,Low,Summer,Adventure,4.4,8000,https://images.unsplash.com/photo-1596402184320-417e7178b2cd
Ladakh,Ladakh,Hill,High,Summer,Adventure,4.8,20000,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee
Kerala Backwaters,Kerala,Beach,High,Winter,Relaxation,4.7,18000,https://images.unsplash.com/photo-1507525428034-b723cf961d3e
Mysore,Karnataka,Historical,Medium,Winter,Cultural,4.3,8500,https://images.unsplash.com/photo-1597074866923-dc0589150358
Darjeeling,West Bengal,Hill,Medium,Summer,Relaxation,4.4,11000,https://images.unsplash.com/photo-1501785888041-af3ef285b470
Andaman,Andaman & Nicobar,Beach,High,Winter,Adventure,4.7,22000,https://images.unsplash.com/photo-1507525428034-b723cf961d3e
Ooty,Tamil Nadu,Hill,Low,Summer,Relaxation,4.2,7500,https://images.unsplash.com/photo-1602080858428-57174f9431cf
Hampi,Karnataka,Historical,Low,Winter,Cultural,4.3,6500,https://images.unsplash.com/photo-1589884629108-3193400c7cc7
Amritsar,Punjab,Historical,Medium,Winter,Spiritual,4.6,9000,https://images.unsplash.com/photo-1597047084897-51e81819a499
Alleppey,Kerala,Beach,Medium,Winter,Relaxation,4.5,13000,https://images.unsplash.com/photo-1502082553048-f009c37129b9
Coorg,Karnataka,Hill,Medium,Winter,Relaxation,4.4,10000,https://images.unsplash.com/photo-1501785888041-af3ef285b470
Mount Abu,Rajasthan,Hill,Low,Summer,Relaxation,4.1,6000,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee
Mahabalipuram,Tamil Nadu,Beach,Low,Winter,Cultural,4.2,7000,https://images.unsplash.com/photo-1583416750470-965b2707b355
Kedarnath,Uttarakhand,Hill,Medium,Summer,Spiritual,4.7,15000,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429
Pondicherry,Puducherry,Beach,Medium,Winter,Relaxation,4.4,10000,https://images.unsplash.com/photo-1507525428034-b723cf961d3e
Ajanta Caves,Maharashtra,Historical,Low,Winter,Cultural,4.3,6000,https://images.unsplash.com/photo-1589884629108-3193400c7cc7
Ellora Caves,Maharashtra,Historical,Low,Winter,Cultural,4.4,6500,https://images.unsplash.com/photo-1589884629108-3193400c7cc7
Sikkim,Sikkim,Hill,High,Summer,Adventure,4.6,18000,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Gokarna,Karnataka,Beach,Low,Winter,Relaxation,4.3,7000,https://images.unsplash.com/photo-1507525428034-b723cf961d3e
Tirupati,Andhra Pradesh,Historical,Medium,Winter,Spiritual,4.5,9000,https://images.unsplash.com/photo-1599661046289-e31897846e41
Nainital,Uttarakhand,Hill,Medium,Summer,Relaxation,4.4,9500,https://images.unsplash.com/photo-1501785888041-af3ef285b470
Kodaikanal,Tamil Nadu,Hill,Medium,Summer,Relaxation,4.3,10000,https://images.unsplash.com/photo-1501785888041-af3ef285b470
Jaisalmer,Rajasthan,Historical,High,Winter,Adventure,4.6,16000,https://images.unsplash.com/photo-1477587458883-47145ed94245
Shillong,Meghalaya,Hill,Medium,Summer,Adventure,4.5,12000,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429
